"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP MII 15.2";"SAP Manufacturing Integration and Intelligence 15.2";"SAP MII";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"02.03.2018";"02.03.2018";"Ready";"";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002726";
"SAP POS DM 1.0";"SAP POS Data Management 1.0";"SAP POS DM";"SAP Point-of-Sale";"Customer Relationship Management";"Yes";"Unrestricted available";"10.04.2012";"30.07.2012";"31.05.2013";"Ready";"10.04.2012";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004924";
"SAP REP SERVR OPT DB2 15.7";"SAP Sybase Replication Server 15.7, option for IBM DB2";"SYBASE REP SERVER OPT FOR DB2";"SAP Replication Server";"Technology Platform";"No";"In customer-specific maintenance";"";"31.05.2013";"13.06.2013";"";"";"31.12.2021";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006625";
"SAP S4HANA R&R BY VISTEX 2020";"SAP S/4HANA for rights and royalty management 2020 by Vistex";"SAP S4HANA R&R BY VISTEX";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"18.02.2021";"18.02.2021";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005323";
"SAP SMART BUSINESS SFIN 1605";"SAP Smart Business for SAP S/4HANA Finance 1605";"SAP SMART BUSINESS F. SFIN";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"31.05.2016";"31.05.2016";"Ready";"29.02.2016";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000696";
"SAP XECM CLOUD BY OT 22.4";"SAP Extended Enterprise Content Management 22.4 by OpenText, cloud edition";"SAP EXTENDED ECM CLOUD ETD.";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"15.05.2023";"15.05.2023";"";"";"30.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006658";
"SBOP NOTES MANAGEMENT 10.0";"SAP Notes Management 10.0";"SAP NOTES MANAGEMENT";"SAP Notes Management";"Financial Management";"Yes";"In customer-specific maintenance";"";"11.05.2011";"11.05.2011";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004171";
"SBOP PCM 10.0";"SAP Profitability and Cost Management 10.0";"SAP PCM";"SAP Profitability and Cost Management";"Financial Management";"No";"In customer-specific maintenance";"";"10.05.2011";"16.03.2012";"Ready";"";"31.12.2020";"";"31.12.2023";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004557";
"SYBASE SQL ANYWHERE 16.0";"SAP SQL Anywhere 16.0";"SYBASE SQL ANYWHERE";"SAP SQL Anywhere";"Technology Platform";"No";"In customer-specific maintenance";"20.11.2012";"06.03.2013";"06.03.2013";"Ready";"24.06.2015";"31.12.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007388";
"VE STRUCTURE MANAGER 1.0";"SAP 3D Visual Enterprise structure manager 1.0";"VE STRUCTURE MANAGER";"SAP 3D Visual Enterprise";"Product Lifecycle Management";"No";"Unrestricted available";"";"10.09.2014";"10.09.2014";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007972";
"ASSET PERF MANAGEMENT 1.0";"SAP Asset Performance Management 1.0";"ASSET PERF MANAGEMENT OD";"SAP Intelligent Asset Management";"Supply Chain Management";"No";"Unrestricted available";"";"20.02.2022";"20.02.2022";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005562";
"CRYSTAL REP SERVER OEM 2020";"SAP Crystal Reports Server 2020, OEM edition";"SAP CR SERVER (OEM)";"SAP Crystal Server";"Technology Platform";"No";"Unrestricted available";"";"12.06.2020";"12.06.2020";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001849";
"ECTR INTERFACE ECAD 1.1";"SAP Engineering Control Center interface to ECAD 1.1";"ECTR INTERFACE ECAD";"SAP Engineering Control Center";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"10.06.2020";"10.06.2020";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004882";
"EHP2 FOR SAP SNC 7.0";"SAP enhancement package 2 for SAP Supply Network Collaboration 7.0";"SAP SNC";"SAP Supply Network Collaboration";"Supply Chain Management";"Yes";"Unrestricted available";"24.08.2011";"08.11.2011";"07.05.2012";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900003143";
"EHP8 FOR SAP FSCM 6.0";"SAP enhancement package 8 for SAP Financial Supply Chain Management 6.0";"SAP FSCM";"SAP Financial Supply Chain Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"20.01.2016";"20.01.2016";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001487";
"FIELD MASK WD ABAP 1.0";"field masking 1.0 for Web Dynpro for ABAP";"FIELD MASK WD ABAP";"field masking";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"";"13.12.2016";"";"Ready";"13.12.2016";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001371";
"S/4HANA IA_PB BY VISTEX 2023V3";"SAP Incentive Administration and SAP Paybacks and Chargebacks by Vistex for SAP S/4HANA 2023V3";"S/4HANA IA_PB BY VISTEX";"SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex";"Customer Relationship Management";"Yes";"Unrestricted available";"";"01.07.2025";"01.07.2025";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008485";
"SAP ADA CLOUD BY OT 24.4";"SAP Archiving and Document Access 24.4 by OpenText, cloud edition";"SAP ADA CLOUD ETD.";"SAP Archiving and Document Access by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"19.02.2025";"19.02.2025";"";"";"30.09.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009249";
"SAP ANALYTICS FOUNDATION 1.0";"SAP Smart Business 1.0 foundation component";"SAP ANALYTICS FOUNDATION";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"28.07.2014";"28.07.2014";"Ready";"17.12.2012";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007767";
"SAP ASSET RETIRE OBLIG MGT 1.0";"SAP Asset Retirement Obligation Management 1.0";"SAP ASSET RETIRE OBLIG MGT";"SAP Asset Retirement Obligation Management";"Financial Management";"Yes";"Unrestricted available";"";"29.06.2011";"21.03.2012";"On Request";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900003562";
"SAP ASSURANCE & COMPLIANCE 1.6";"SAP assurance and compliance software 1.6";"SAP ASSURANCE & COMPLIANCE";"SAP assurance and compliance software";"Financial Management";"Yes";"Unrestricted available";"";"20.03.2023";"20.03.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006162";
"SAP BTP SDK 10.0 FOR IOS";"SAP BTP SDK 10.0 for iOS";"SAP BTP SDK FOR IOS";"SAP Business Technology Platform";"Technology Platform";"No";"Restricted available  (productive use allowed)";"";"30.11.2023";"";"";"";"30.11.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008062";
"SAP BUDGETING AND PLANNING 1.0";"SAP Budgeting and Planning for Public Sector 1.0";"SAP BUDGETING AND PLANNING";"SAP Budgeting and Planning for Public Sector";"Financial Management";"Yes";"Unrestricted available";"";"12.02.2016";"12.02.2016";"Ready";"12.02.2016";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000154";
"SAP BUSINESS ONE OEM 10.0";"SAP Business One 10.0, OEM edition";"SAP BUSINESS ONE FOR OEM";"SAP Business One";"Enterprise Management";"No";"Unrestricted available";"";"11.11.2019";"30.04.2020";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004092";
"SAP C4C ERP INTEGR 2.0";"SAP Cloud for Customer 2.0 integration with SAP ERP";"SAP C4C ERP INTEGR";"SAP Cloud for Customer";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"21.08.2013";"";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008564";
"SAP CPM 2.0";"SAP Commercial Project Management 2.0";"SAP CPM";"SAP Commercial Project Management";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"22.04.2015";"19.10.2015";"Ready";"13.02.2015";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008851";
"SAP DATAMAINT_VISTEX_6.0 E";"SAP Data Maintenance for SAP ERP 6.0E by Vistex";"SAP DATA MAINTENANCE BY VISTEX";"SAP Data Maintenance by Vistex";"Technology Platform";"Yes";"In customer-specific maintenance";"";"30.04.2013";"30.04.2013";"";"";"31.12.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007671";
"SAP DC APPLICATION CTRL 1.0";"SAP Data Custodian 1.0, add-on for SAP S/4HANA";"SAP DC APPLICATION CTRL";"SAP Data Custodian";"Technology Platform";"Yes";"Unrestricted available";"";"09.10.2019";"18.10.2019";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003941";
"SAP ERP ES 2005";"SAP ERP, enterprise services bundle 2005";"SAP ERP ES";"SAP ERP";"Enterprise Management";"Yes";"Restricted available  (productive use allowed)";"";"30.06.2006";"";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000376";
"SAP HANA STREAMING 2.0";"SAP HANA streaming analytics 2.0";"SAP HANA STREAMING ANALYTICS";"SAP HANA";"Technology Platform";"Yes";"Unrestricted available";"";"30.11.2016";"30.11.2016";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001272";
"SAP HR-CEE 110_600";"HR renewal, localization for CEE countries 110_600";"SAP HR-CEE";"HR renewal";"Human Capital Management";"Yes";"Unrestricted available";"";"31.03.2006";"29.05.2006";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001366";
"SAP IBP OD 2405";"SAP Integrated Business Planning for Supply Chain 2405";"SAP IBP OD";"SAP Integrated Business Planning";"Supply Chain Management";"No";"Unrestricted available";"";"03.05.2024";"17.05.2024";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006943";
"SAP INNOVATION MANAGEMENT 2.0";"SAP Innovation Management 2.0";"SAP INNOVATION MANAGEMENT";"SAP Innovation Management";"Product Lifecycle Management";"No";"Unrestricted available";"";"29.07.2016";"29.07.2016";"Ready";"29.07.2016";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001056";
"SAP INSURANCE FS-RI 7.00";"SAP Reinsurance Management 7.0";"SAP INSURANCE FS-RI";"SAP Reinsurance Management";"Financial Management";"Yes";"Unrestricted available";"21.08.2013";"12.11.2013";"02.06.2014";"Ready";"12.11.2013";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007363";
"SAP MDG-RFM EXTN BY UTOPIA 9.0";"SAP Master Data Governance, retail and fashion management extension 9.0 by Utopia";"UTOPIA RFM SOLUTIONS FOR MDG";"SAP Master Data Governance";"Technology Platform";"Yes";"Unrestricted available";"";"27.03.2017";"27.03.2017";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001718";
"SAP MFG EXECUTION 15.3";"SAP Manufacturing Execution 15.3";"SAP MFG EXECUTION";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"24.05.2019";"24.05.2019";"";"";"31.12.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003612";
"SAP MFG EXECUTION 15.4";"SAP Manufacturing Execution 15.4";"SAP MFG EXECUTION";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"Unrestricted available";"";"24.04.2020";"24.04.2020";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003844";
"SAP MII 15.0";"SAP Manufacturing Integration and Intelligence 15.0";"SAP MII";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"16.05.2014";"07.11.2014";"Ready";"";"31.12.2019";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006490";
"SAP OMNICHANNEL POS BY GK 7.6";"SAP Omnichannel Point-of-Sale 7.6 by GK";"SAP OMNICHANNEL POS BY GK";"SAP Omnichannel Point-of-Sale by GK";"Customer Relationship Management";"No";"Unrestricted available";"";"17.07.2023";"17.07.2023";"";"";"30.06.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006991";
"SAP PROCESS CONTROL 10.0";"SAP Process Control 10.0";"SAP PROCESS CONTROL";"SAP Process Control";"Financial Management";"Yes";"In customer-specific maintenance";"";"13.12.2010";"29.07.2011";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002629";
"SAP R/3 3.1I";"SAP R/3 3.1I";"SAP R/3";"SAP R/3";"Enterprise Management";"No";"In customer-specific maintenance";"11.05.1998";"";"15.06.1998";"";"";"31.12.2003";"31.12.2006";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200245450900000013";
"SAP REPLICATION SERVER 15.7";"SAP Replication Server 15.7";"SYBASE REPLICATION SERVER";"SAP Replication Server";"Technology Platform";"No";"In customer-specific maintenance";"";"09.03.2012";"09.03.2012";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007043";
"SAP TM 9.3";"SAP Transportation Management 9.3";"SAP TRANSPORTATION MANAGEMENT";"SAP Transportation Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"28.05.2015";"12.11.2015";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000203";
"SAP XECM CLOUD BY OT 21.4";"SAP Extended Enterprise Content Management by OpenText, cloud edition 21.4";"SAP EXTENDED ECM CLOUD ETD.";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"13.01.2022";"13.01.2022";"";"";"30.09.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006126";
"SBOP ANALYSIS MS OFFICE 2.4";"SAP BusinessObjects Analysis 2.4, edition for Microsoft Office";"SBOP ANALYSIS MS OFFICE";"SAP Analysis for Microsoft Office";"Technology Platform";"No";"In customer-specific maintenance";"17.10.2016";"29.11.2016";"29.11.2016";"";"";"30.11.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001392";
"SDK FOR SAP ASE 16.0.3";"SAP Adaptive Server Enterprise SDK 16.0.3";"SDK FOR SAP ASE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"Unrestricted available";"";"08.06.2023";"08.06.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008428";
"SDK FOR SAP ASE 16.1";"SAP Adaptive Server Enterprise SDK 16.1";"SDK FOR SAP ASE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"Unrestricted available";"";"28.02.2025";"28.02.2025";"";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009152";
"DRC NFE IN 1.0";"SAP Document and Reporting Compliance, inbound invoicing for Brazil (nota fiscal eletronica) 1.0";"DRC NFE IN";"SAP Document and Reporting Compliance";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"";"19.04.2019";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003184";
"ECTR INTERFACE TO SOLIDEDGE1.1";"SAP Engineering Control Center interface 1.1 to SolidEdge";"ECTR INTERFACE TO SOLIDEDGE";"SAP Engineering Control Center";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"02.11.2015";"02.11.2015";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000724";
"EHP8 FOR SAP LEARNING SOL 6.0";"SAP enhancement package 8 for SAP Learning Solution 6.0";"SAP LEARNING SOLUTION";"SAP Learning Solution";"Human Capital Management";"Yes";"Unrestricted available";"";"20.01.2016";"20.01.2016";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001622";
"FIN TASK LIST MGMNT INT 1.0";"SAP ERP connector 1.0 for SAP Advanced Financial Closing";"FIN TASK LIST MGMNT INT";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"29.04.2020";"29.04.2020";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004591";
"FIORI SRM APPLICATIONS X1 1.0";"SAP Fiori principal apps 1.0 for SAP SRM";"FIORI SRM APPLICATIONS X1";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"";"29.11.2013";"03.06.2014";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007315";
"MOBILE ADD-ON FOR S/4HANA 1.0";"SAP S/4HANA, add-on for mobile integration 1.0";"MOBILE ADD-ON FOR S/4HANA";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"30.06.2017";"17.11.2017";"Ready";"30.06.2017";"31.03.2027";"";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001511";
"PLM SYST INTEG 2.0 FOR ERP";"PLM system integration 2.0 for SAP ERP";"PLM SYST INTEG FOR ERP";"PLM system integration";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"25.10.2021";"25.10.2021";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005571";
"S/4HANA BKG COMPLEX LOANS 1811";"SAP S/4HANA Banking for complex loans 1811";"S/4HANA BKG COMPLEX LOANS";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"30.11.2018";"30.11.2018";"Ready";"30.11.2018";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003305";
"S/4HANA IA_PB BY VISTEX 2023";"SAP Incentive Administration and SAP Paybacks and Chargebacks by Vistex for SAP S/4HANA 2023";"S/4HANA IA_PB BY VISTEX";"SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex";"Customer Relationship Management";"Yes";"Unrestricted available";"";"28.11.2023";"28.11.2023";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008431";
"S/4HANA MFG LOGISTICS 2303";"SAP S/4HANA for manufacturing logistics 2303";"S/4HANA MFG LOGISTICS";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"24.03.2023";"24.03.2023";"Ready";"11.10.2023";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006952";
"S/4HANA PREPAY UTILITIES 1709";"prepayment for utilities for SAP S/4HANA 1709";"S/4HANA PREPAY UTILITIES";"prepayment for utilities";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"27.10.2017";"";"Ready";"31.10.2017";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002192";
"S/4HANA SOL SALES CONFIG 1907";"SAP Solution Sales Configuration for SAP S/4HANA 1907";"S/4HANA SOL SALES CONFIG";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"19.08.2019";"27.09.2019";"27.09.2019";"Ready";"27.09.2019";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003333";
"S/4HANA UTOPIA MDG-RFM EXT 9.1";"SAP Master Data Governance, retail and fashion management extension 9.1 by Utopia for SAP S/4HANA";"S/4HANA UTOPIA MDG-RFM EXT";"SAP Master Data Governance";"Technology Platform";"Yes";"In customer-specific maintenance";"";"26.03.2018";"26.03.2018";"Ready";"26.03.2018";"31.12.2021";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002877";
"S4H UTOPIA MDG-EAM-AIW EXT2021";"SAP Asset Information Workbench 2021 by Prometheus Group for SAP S/4HANA";"S/4HANA UTOPIA MDG-EAM-AIW EXT";"SAP Asset Information Workbench by Prometheus Group";"Enterprise Management";"Yes";"Unrestricted available";"";"24.01.2022";"24.01.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006251";
"S4HRESPS 101";"SAP Human Capital Management for SAP S/4HANA, public sector add-on for Spain 1.01";"HCM PUBLIC SECTOR SPAIN";"SAP Human Capital Management";"Human Capital Management";"Yes";"Unrestricted available";"";"09.04.2024";"09.04.2024";"";"";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008253";
"SAP ADA CLOUD BY OT 21.4";"SAP Archiving and Document Access Core 21.4 by OpenText";"SAP ADA CLOUD ETD.";"SAP Archiving and Document Access by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"13.01.2022";"13.01.2022";"";"";"30.09.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006123";
"SAP ANALYTICAL SERVICES 1.0";"SAP Smart Business 1.0, core data services version";"SAP ANALYTICAL SERVICES";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"23.05.2016";"23.05.2016";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000674";
"SAP APPAREL AND FOOTWEAR 6.5";"SAP Apparel and Footwear 6.5";"SAP APPAREL AND FOOTWEAR";"SAP Apparel and Footwear";"Product Lifecycle Management";"Yes";"Unrestricted available";"11.02.2011";"17.03.2011";"28.10.2011";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001759";
"SAP B1 OEM 9.3 FOR SAP HANA";"SAP Business One 9.3, version for SAP HANA, OEM edition";"SAP B1 VERSION FOR HANA OEM";"SAP Business One";"Enterprise Management";"No";"In customer-specific maintenance";"";"28.08.2017";"03.04.2018";"Ready";"03.04.2018";"30.06.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001627";
"SAP BTP LATEST SDK FOR IOS";"SAP BTP Latest SDK for iOS";"SAP BTP SDK FOR IOS";"SAP Business Technology Platform";"Technology Platform";"No";"Restricted available  (productive use allowed)";"";"28.08.2024";"";"";"";"28.08.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007915";
"SAP BW 3.0A";"SAP Business Information Warehouse 3.0A";"SAP BW";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"27.09.2001";"";"";"";"";"30.09.2002";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900000183";
"SAP CM BY DIGITALROUTE 4.3.1";"SAP Convergent Mediation 4.3.1 by DigitalRoute";"SAP CM BY DIGITALROUTE";"SAP Billing and Revenue Innovation Management";"Financial Management";"No";"Unrestricted available";"";"03.05.2021";"03.05.2021";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005795";
"SAP CRYSTAL REPORTS 2013";"SAP Crystal Reports 2013";"CRYSTAL REPORTS";"SAP Crystal Reports";"Technology Platform";"No";"Out of maintenance";"12.12.2012";"10.05.2013";"29.08.2013";"Ready";"12.12.2012";"31.12.2018";"";"31.12.2020";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006097";
"SAP DBM 8.0";"SAP Dealer Business Management 8.0";"SAP DEALER BUSINESS MANAGEMENT";"SAP Dealer Business Management";"Customer Relationship Management";"Yes";"Unrestricted available";"";"29.11.2013";"10.06.2014";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004039";
"SAP DQM SDK 2025";"SAP Data Quality Management SDK 2025";"SAP DQM SDK";"SAP Data Quality Management";"Technology Platform";"No";"Unrestricted available";"";"27.06.2025";"27.06.2025";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007677";
"SAP E-RECRUITING 6.0";"SAP E-Recruiting 6.0";"SAP E-RECRUITING";"SAP E-Recruiting";"Human Capital Management";"Yes";"Unrestricted available";"";"24.10.2005";"06.06.2006";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001315";
"SAP ENVIRONMENTAL COMPL. 3.0";"SAP Environmental Compliance 3.0";"SAP ENVIRONMENTAL COMPL.";"SAP Environmental Compliance";"Product Lifecycle Management";"Yes";"In customer-specific maintenance";"";"02.03.2009";"30.09.2010";"";"";"31.12.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001673";
"SAP ERP HCM - PS LOCES 604";"SAP enhancement package 4 for SAP ERP HCM 6.0, localization for Spain public sector";"SAP ERP HCM - PS LOCES";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"03.03.2009";"03.03.2009";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001582";
"SAP EXTENDED ECM BY OT 20.4";"SAP Extended Enterprise Content Management 20.4 by OpenText";"SAP EXTENDED ECM BY OPEN TEXT";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"18.02.2021";"18.02.2021";"Ready";"";"31.10.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005501";
